Question,Segment Type,Segment Description,Answer,Count,Percentage
Have you ever met up with someone off tinder?,University,Florida International University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Central Florida,Yes,0,0
Have you ever met up with someone off tinder?,University,University of Central Florida,No,0,0
Have you ever met up with someone off tinder?,University,University of Central Florida,I don't use Tinder,1,1
Have you ever met up with someone off tinder?,University,Castleton State College,Yes,0,0
Have you ever met up with someone off tinder?,University,Castleton State College,No,1,1
Have you ever met up with someone off tinder?,University,Castleton State College,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Cal State Northridge,Yes,0,0
Have you ever met up with someone off tinder?,University,Cal State Northridge,No,2,0.667
Have you ever met up with someone off tinder?,University,Cal State Northridge,I don't use Tinder,1,0.333
Have you ever met up with someone off tinder?,University,Ohio University,Yes,0,0
Have you ever met up with someone off tinder?,University,Ohio University,No,1,1
Have you ever met up with someone off tinder?,University,Ohio University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Pepperdine University,Yes,0,0
Have you ever met up with someone off tinder?,University,Pepperdine University,No,2,1
Have you ever met up with someone off tinder?,University,Pepperdine University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Providence College,Yes,0,0
Have you ever met up with someone off tinder?,University,Providence College,No,1,1
Have you ever met up with someone off tinder?,University,Providence College,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Appalachian State University,Yes,16,0.139
Have you ever met up with someone off tinder?,University,Appalachian State University,No,53,0.461
Have you ever met up with someone off tinder?,University,Appalachian State University,I don't use Tinder,46,0.4
Have you ever met up with someone off tinder?,University,University of Connecticut,Yes,0,0
Have you ever met up with someone off tinder?,University,University of Connecticut,No,3,0.375
Have you ever met up with someone off tinder?,University,University of Connecticut,I don't use Tinder,5,0.625
Have you ever met up with someone off tinder?,University,"University of Wisconsin, Eau Claire",Yes,1,1
Have you ever met up with someone off tinder?,University,"University of Wisconsin, Eau Claire",No,0,0
Have you ever met up with someone off tinder?,University,"University of Wisconsin, Eau Claire",I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,University of Delaware,Yes,1,0.25
Have you ever met up with someone off tinder?,University,University of Delaware,No,2,0.5
Have you ever met up with someone off tinder?,University,University of Delaware,I don't use Tinder,1,0.25
Have you ever met up with someone off tinder?,University,Massachusetts Institute of Technology,Yes,0,0
Have you ever met up with someone off tinder?,University,Massachusetts Institute of Technology,No,1,0.5
Have you ever met up with someone off tinder?,University,Massachusetts Institute of Technology,I don't use Tinder,1,0.5
Have you ever met up with someone off tinder?,University,Oregon State University,Yes,0,0
Have you ever met up with someone off tinder?,University,Oregon State University,No,1,1
Have you ever met up with someone off tinder?,University,Oregon State University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Whatsgoodly University,Yes,0,0
Have you ever met up with someone off tinder?,University,Whatsgoodly University,No,1,1
Have you ever met up with someone off tinder?,University,Whatsgoodly University,I don't use Tinder,0,0
Have you ever met up with someone off tinder?,University,Case Western Reserve University,Yes,7,0.226
Have you ever met up with someone off tinder?,University,Case Western Reserve University,No,12,0.387
Have you ever met up with someone off tinder?,University,Case Western Reserve University,I don't use Tinder,12,0.387
Have you ever met up with someone off tinder?,University,Michigan Technological University,Yes,0,0
Have you ever met up with someone off tinder?,University,Michigan Technological University,No,3,0.75
Have you ever met up with someone off tinder?,University,Michigan Technological University,I don't use Tinder,1,0.25
Have you ever met up with someone off tinder?,University,"Meridian, Idaho",Yes,1,1
Have you ever met up with someone off tinder?,University,"Meridian, Idaho",No,0,0
